Time,A,B,C,D,E,F
15:00:08,1016,1014,1018.0,1011.0,94.0,90.0
15:00:08,1014,1011,1013.0,1016.0,94.0,90.0
15:00:08,1007,1010,1013.0,1017.0,94.0,90.0
15:00:08,974,983,1000.0,1008.0,94.0,90.0
15:00:08,954,976,1009.0,1003.0,93.0,90.0
15:00:09,959,972,1007.0,1006.0,92.0,90.0
15:00:09,957,966,1006.0,1004.0,91.0,90.0
15:00:09,955,964,1006.0,1006.0,90.0,90.0
15:00:09,958,966,1000.0,1011.0,89.0,90.0
15:00:09,966,967,1006.0,1012.0,88.0,90.0
15:00:09,954,958,995.0,998.0,87.0,90.0
15:00:09,967,963,1006.0,1001.0,86.0,90.0
15:00:09,981,966,999.0,1007.0,85.0,90.0
15:00:09,1001,973,1005.0,1013.0,84.0,90.0
15:00:09,1007,963,984.0,1015.0,83.0,91.0
15:00:09,1012,969,992.0,1012.0,82.0,92.0
15:00:09,1012,969,977.0,1010.0,82.0,93.0
15:00:09,1012,968,980.0,1015.0,82.0,94.0
15:00:09,1006,964,987.0,1015.0,82.0,95.0
15:00:09,1013,968,995.0,1015.0,82.0,96.0
15:00:09,1006,964,1001.0,1015.0,81.0,97.0
15:00:09,1000,965,1006.0,1012.0,80.0,98.0
15:00:09,1003,969,1008.0,1016.0,79.0,99.0
15:00:09,986,960,1013.0,1019.0,78.0,100.0
15:00:09,998,966,1008.0,1015.0,77.0,101.0
15:00:09,995,968,1008.0,1014.0,76.0,102.0
15:00:09,991,969,1011.0,1015.0,75.0,102.0
15:00:09,990,969,1012.0,1010.0,74.0,103.0
15:00:09,997,966,1012.0,1016.0,73.0,103.0
15:00:09,1001,970,1007.0,1017.0,72.0,103.0
15:00:09,997,971,1008.0,1016.0,71.0,103.0
15:00:09,1002,971,1008.0,1015.0,70.0,103.0
15:00:10,1007,974,1018.0,1015.0,69.0,104.0
15:00:10,1005,970,1008.0,1016.0,68.0,104.0
15:00:10,1000,972,1010.0,1011.0,67.0,105.0
15:00:10,1003,968,1010.0,1016.0,66.0,106.0
15:00:10,1000,971,1011.0,1016.0,65.0,107.0
15:00:10,1006,971,1008.0,1016.0,64.0,108.0
15:00:10,1005,973,1010.0,1017.0,63.0,109.0
15:00:10,1002,973,1011.0,1013.0,62.0,110.0
15:00:10,999,972,1013.0,1017.0,61.0,111.0
15:00:10,1000,972,1013.0,1016.0,60.0,112.0
15:00:10,995,974,1013.0,1015.0,59.0,112.0
15:00:10,996,974,1009.0,1013.0,58.0,113.0
15:00:10,997,971,1015.0,1017.0,57.0,113.0
15:00:10,991,975,1010.0,1011.0,56.0,113.0
15:00:10,990,976,1015.0,1017.0,55.0,113.0
15:00:10,994,975,1011.0,1016.0,54.0,113.0
15:00:10,999,974,1015.0,1018.0,53.0,113.0
15:00:10,998,976,1012.0,1017.0,52.0,113.0
15:00:10,1005,972,1014.0,1015.0,51.0,113.0
15:00:10,1007,975,1011.0,1014.0,50.0,114.0
15:00:10,1004,975,1011.0,1011.0,49.0,114.0
15:00:10,1008,978,1009.0,1018.0,48.0,115.0
15:00:10,1010,979,1005.0,1016.0,47.0,116.0
15:00:10,1008,979,1007.0,1014.0,46.0,117.0
15:00:10,1007,983,1013.0,1011.0,45.0,118.0
15:00:10,1007,969,990.0,1002.0,44.0,119.0
15:00:10,1013,979,1005.0,1015.0,44.0,120.0
15:00:11,991,965,993.0,998.0,43.0,121.0
15:00:11,1010,979,1011.0,1017.0,43.0,122.0
15:00:11,1002,983,1013.0,1019.0,42.0,123.0
15:00:11,1002,975,1007.0,1005.0,41.0,123.0
15:00:11,995,979,999.0,993.0,40.0,123.0
15:00:11,1002,995,1016.0,1021.0,39.0,123.0
15:00:11,1011,1007,1019.0,1011.0,39.0,123.0
15:00:11,1002,999,1005.0,1001.0,39.0,123.0
15:00:11,1002,1003,1004.0,1004.0,39.0,123.0
15:00:11,998,1004,999.0,1002.0,39.0,123.0
15:00:11,1005,1004,1003.0,1005.0,39.0,123.0
15:00:11,1000,992,1019.0,1021.0,39.0,123.0
15:00:11,1016,1011,1013.0,1012.0,39.0,123.0
15:00:11,1014,1016,1016.0,1019.0,39.0,123.0
15:00:11,1014,1014,1015.0,1017.0,39.0,123.0
15:00:11,1014,1015,1012.0,1017.0,39.0,123.0
15:00:11,1014,1014,1017.0,1017.0,39.0,123.0
15:00:11,1018,1007,1015.0,1003.0,39.0,123.0
15:00:11,1004,1004,998.0,1002.0,39.0,123.0
15:00:11,1002,1004,1004.0,1002.0,39.0,123.0
15:00:11,1002,1005,1003.0,1002.0,39.0,123.0
15:00:11,1016,1012,1016.0,1014.0,39.0,123.0
15:00:11,1015,1012,1017.0,1015.0,39.0,123.0
15:00:11,1015,1017,1015.0,1017.0,39.0,123.0
15:00:11,1016,1014,1016.0,1018.0,39.0,123.0
15:00:12,1010,1016,1009.0,1015.0,39.0,123.0
15:00:12,1016,1017,1015.0,1018.0,39.0,123.0
15:00:12,1010,1023,1019.0,1000.0,39.0,123.0
15:00:12,1005,1003,1001.0,1004.0,39.0,123.0
15:00:12,1003,1003,1003.0,1004.0,38.0,123.0
15:00:12,1003,999,1004.0,1006.0,38.0,123.0
15:00:12,1019,1023,1015.0,1018.0,38.0,123.0
15:00:12,1009,1014,1010.0,1016.0,38.0,123.0
15:00:12,1016,1011,1013.0,1017.0,38.0,123.0
15:00:12,1015,1016,1015.0,1016.0,38.0,123.0
15:00:12,1016,1016,1013.0,1015.0,38.0,123.0
15:00:12,1015,1016,1016.0,1015.0,38.0,123.0
15:00:12,999,1001,1023.0,1009.0,38.0,123.0
15:00:12,968,1021,1005.0,1004.0,38.0,123.0
15:00:12,1000,1005,1004.0,1002.0,38.0,123.0
15:00:12,1004,1006,1001.0,1000.0,38.0,123.0
15:00:12,1019,1019,1015.0,1016.0,38.0,123.0
15:00:12,1016,1017,1011.0,1016.0,37.0,123.0
15:00:12,1010,1016,1010.0,1012.0,37.0,123.0
15:00:12,1017,1017,1016.0,1014.0,37.0,123.0
15:00:12,1011,1016,1011.0,1017.0,37.0,123.0
15:00:12,1009,1011,1015.0,1011.0,37.0,123.0
15:00:12,1015,1008,1003.0,1007.0,37.0,123.0
15:00:12,1003,1004,1002.0,1005.0,37.0,124.0
15:00:12,1005,1003,1005.0,1003.0,37.0,124.0
15:00:12,1019,1021,1015.0,1012.0,37.0,124.0
15:00:13,960,1021,1019.0,1023.0,36.0,125.0
15:00:13,1010,1016,1014.0,1014.0,36.0,125.0
15:00:13,1010,1017,1015.0,1017.0,36.0,125.0
15:00:13,1016,1016,1016.0,1018.0,36.0,125.0
15:00:13,1013,1012,1012.0,1018.0,36.0,125.0
15:00:13,1016,1016,1011.0,1015.0,36.0,125.0
15:00:13,960,1021,1006.0,1007.0,36.0,125.0
15:00:13,1002,1005,1005.0,1001.0,36.0,125.0
15:00:13,998,1004,1002.0,1002.0,36.0,125.0
15:00:13,1004,976,1019.0,1021.0,36.0,125.0
15:00:13,992,1021,1019.0,1018.0,36.0,125.0
15:00:13,1019,1021,1018.0,1013.0,36.0,125.0
15:00:13,1020,1016,1010.0,1018.0,35.0,126.0
15:00:13,1014,1015,1017.0,1017.0,35.0,126.0
15:00:13,1016,1019,1015.0,1018.0,35.0,126.0
15:00:13,1011,1017,1016.0,1017.0,35.0,126.0
