c1,c2,c3,c4,c5,c6,Unnamed: 6
10:53:14,1015,1017,1016,1018,94,90
10:53:14,1011,1018,1017,1016,94,90
10:53:14,1017,1013,1012,1013,94,90
10:53:14,1014,1017,1015,1013,94,90
10:53:14,1002,1005,1011,1008,94,90
10:53:14,984,988,1004,1004,94,90
10:53:14,981,987,1006,1009,94,90
10:53:14,974,982,1003,1005,93,90
10:53:14,979,979,1002,1007,92,90
10:53:14,969,940,955,1007,91,90
10:53:15,968,772,745,1010,90,91
10:53:15,951,976,995,999,89,92
10:53:15,963,1005,1011,1005,88,92
10:53:15,957,1013,1011,999,87,91
10:53:15,965,1015,1011,989,86,90
10:53:15,964,1015,1014,998,85,89
10:53:15,966,1009,1010,993,85,88
10:53:15,967,1013,1009,985,85,87
10:53:15,966,939,930,983,85,86
10:53:15,968,1012,1009,981,85,87
10:53:15,967,1012,1008,982,85,86
10:53:15,969,1011,1013,984,85,85
10:53:15,963,1005,960,987,85,84
10:53:15,957,1000,1003,971,85,83
10:53:15,950,998,996,981,85,82
10:53:15,964,1023,1015,979,85,81
10:53:15,963,1012,1014,988,85,80
10:53:15,968,1015,1011,984,85,79
10:53:15,967,1010,1012,989,85,78
10:53:15,965,1014,1009,990,85,77
10:53:15,965,1009,1015,991,85,76
10:53:15,965,1015,1010,990,85,75
10:53:15,967,1014,1014,990,85,74
10:53:15,966,1014,1009,990,85,73
10:53:15,962,1015,1012,988,85,72
10:53:15,966,1010,1013,990,85,71
10:53:15,963,1014,1015,989,85,70
10:53:15,956,1003,1003,968,85,69
10:53:16,959,1005,1003,976,85,68
10:53:16,952,1004,998,984,85,67
10:53:16,957,1001,997,973,85,66
10:53:16,955,1005,1003,983,84,65
10:53:16,973,1015,1011,987,84,64
10:53:16,966,1014,1014,994,84,63
10:53:16,965,1015,1009,996,84,62
10:53:16,966,1009,1013,995,83,61
10:53:16,963,1011,1010,998,83,60
10:53:16,963,1014,1011,996,83,59
10:53:16,964,1014,1013,997,82,58
10:53:16,966,1009,1015,998,81,57
10:53:16,963,1013,1015,998,81,56
10:53:16,967,1010,1009,1000,81,55
10:53:16,963,1014,1015,1000,80,54
10:53:16,968,1013,1012,1002,79,53
10:53:16,967,1008,1009,1000,78,52
10:53:16,966,1009,1011,1003,77,51
10:53:16,967,1013,1008,1007,76,50
10:53:16,969,1012,1012,1007,75,49
10:53:16,969,1010,1008,1005,74,48
10:53:16,967,1011,1012,1004,73,47
10:53:16,966,1014,1019,1007,72,46
10:53:16,962,1007,1003,997,71,45
10:53:16,975,1011,1006,998,70,44
10:53:16,959,998,999,995,69,43
10:53:16,974,1012,1015,1008,68,42
10:53:17,974,1008,1023,1013,67,41
10:53:17,977,1015,1015,1007,66,40
10:53:17,963,999,999,992,65,39
10:53:17,983,1011,1013,1005,64,38
10:53:17,965,997,999,995,63,37
10:53:17,983,1011,1011,1007,62,36
10:53:17,971,1007,1003,998,61,35
10:53:17,979,1005,1011,1001,61,34
10:53:17,971,998,999,1001,61,34
10:53:17,981,999,1003,998,60,34
10:53:17,975,1007,1006,997,59,33
10:53:17,968,993,1011,1007,58,33
10:53:17,974,996,1005,1003,58,33
10:53:17,944,1011,1007,1005,58,33
10:53:17,977,1001,1000,1002,57,33
10:53:17,972,999,1005,1003,57,33
10:53:17,976,995,1005,1002,56,33
10:53:17,974,1004,1007,1003,55,33
10:53:17,987,1012,1015,1011,55,32
10:53:17,988,1008,1016,1013,55,31
10:53:17,986,1011,1016,1010,55,31
10:53:17,989,1012,1016,1012,55,31
10:53:17,990,1011,1011,1009,55,31
10:53:17,989,1012,1015,1014,55,31
10:53:17,988,1012,1011,1009,54,31
10:53:17,990,1013,1017,1023,53,31
10:53:17,987,1001,1001,993,53,30
10:53:18,970,995,999,995,53,30
10:53:18,983,1005,1003,994,53,30
10:53:18,985,1007,1003,997,53,30
10:53:18,984,1007,1003,999,53,30
10:53:18,974,992,1015,1000,53,30
10:53:18,975,995,992,1005,53,30
10:53:18,975,1000,1001,1004,53,30
10:53:18,969,993,1019,1005,53,29
10:53:18,976,1001,1002,998,53,29
10:53:18,980,998,1000,992,53,29
10:53:18,979,997,1004,1004,53,29
10:53:18,991,1001,1005,999,52,28
10:53:18,979,996,1005,1004,52,28
10:53:18,985,1015,1019,1015,52,28
10:53:18,990,1011,1015,1013,53,27
10:53:18,993,1007,1016,1013,53,27
10:53:18,987,1009,1011,1011,52,27
10:53:18,993,1011,1016,1015,51,27
10:53:18,990,1006,1016,1015,51,27
10:53:18,989,1011,1015,1012,50,27
10:53:18,987,1012,1023,1015,50,27
10:53:18,983,999,1003,1003,50,27
10:53:18,973,987,1007,1001,49,27
10:53:18,983,998,1002,1002,49,27
10:53:18,983,998,1002,1002,49,27
10:53:18,977,1002,1005,1001,49,27
10:53:18,980,996,1000,1000,49,27
10:53:19,984,1015,1019,1017,49,27
10:53:19,995,1013,1012,1010,49,26
10:53:19,991,1011,1016,1014,49,26
10:53:19,992,1007,1017,1008,49,26
10:53:19,994,1012,1016,1011,49,26
10:53:19,990,1012,1016,1013,49,26
10:53:19,992,1007,1019,1015,49,26
10:53:19,991,1003,1011,996,49,26
10:53:19,979,995,997,995,49,26
10:53:19,989,1001,1004,999,49,26
10:53:19,979,994,997,960,49,26
10:53:19,994,1010,1016,1013,49,26
10:53:19,991,997,998,999,49,26
10:53:19,998,1011,1011,1003,49,26
10:53:19,982,991,1001,995,48,26
10:53:19,974,1007,1007,1003,48,26
10:53:19,982,1001,1004,1003,48,26
10:53:19,986,1003,1005,988,48,26
10:53:19,985,1002,1004,1001,47,25
10:53:19,980,1001,992,1014,47,25
10:53:19,999,1014,1015,1008,47,25
10:53:19,992,1014,1017,1015,47,25
10:53:19,990,1013,1017,1013,47,25
10:53:19,997,1008,1012,1014,47,25
10:53:19,995,1008,1016,1009,47,25
10:53:19,986,1007,999,998,47,25
10:53:19,996,1012,1011,1015,47,25
10:53:20,983,1001,996,997,47,25
10:53:20,999,1007,1007,999,47,25
10:53:20,978,1019,1011,1004,46,25
10:53:20,981,1001,1003,998,46,25
10:53:20,984,1003,1002,996,46,25
10:53:20,984,1003,1004,994,46,25
10:53:20,986,1003,1000,1001,46,25
10:53:20,993,1009,1017,1014,46,25
10:53:20,996,1014,1017,1009,46,25
10:53:20,996,1014,1013,1008,46,25
10:53:20,995,1009,1018,1014,46,25
10:53:20,994,1013,1017,1014,46,25
10:53:20,1003,1011,1014,1011,46,25
10:53:20,985,1007,1006,1001,46,25
10:53:20,985,1000,1003,1001,46,25
10:53:20,985,1003,1003,997,46,25
10:53:20,964,1017,1016,1017,46,25
10:53:20,992,1014,1010,1012,46,25
10:53:20,997,1016,1011,1012,46,25
10:53:20,997,1013,1016,1012,46,25
10:53:20,993,1009,1016,1013,46,25
10:53:20,997,1008,1015,1008,46,25
10:53:20,997,1011,1019,1007,46,25
10:53:20,991,1011,1005,993,46,25
10:53:20,987,1007,1006,1001,46,25
10:53:20,986,998,1002,996,46,25
10:53:20,984,997,1004,997,46,25
10:53:21,980,1002,1000,1000,46,25
10:53:21,960,1017,1019,1017,46,25
10:53:21,999,1014,1016,1012,46,25
10:53:21,995,1014,1016,1008,46,25
10:53:21,996,1014,1017,1009,46,25
10:53:21,997,1013,1012,1011,46,25
10:53:21,997,1015,1016,1012,46,25
10:53:21,997,1009,1019,1007,46,25
10:53:21,987,1015,1005,999,46,25
10:53:21,976,1015,1003,998,46,25
10:53:21,991,1002,1002,1007,46,25
10:53:21,986,1002,1001,1000,46,25
10:53:21,960,1019,1019,1019,46,25
10:53:21,998,1015,1014,1008,46,25
10:53:21,992,1015,1013,1008,46,25
10:53:21,994,1014,1012,1008,46,25
10:53:21,991,1009,1012,1012,46,25
10:53:21,996,1015,1013,1010,46,25
10:53:21,991,1013,1015,1012,46,25
10:53:21,995,1007,1007,1001,46,25
10:53:21,981,976,1015,1003,46,25
10:53:21,985,998,1005,1001,46,25
10:53:21,985,998,1000,996,46,25
10:53:21,980,1002,1004,998,46,25
10:53:21,984,976,1019,1015,46,25
10:53:21,984,998,1004,960,46,25
10:53:21,980,999,1005,1012,46,25
10:53:22,982,1002,1006,1015,46,25
10:53:22,995,1014,1016,1013,46,25
10:53:22,997,1009,1011,1012,46,25
10:53:22,994,1011,1011,1011,46,25
10:53:22,993,1013,1016,1012,46,25
10:53:22,990,1011,1013,1008,46,25
10:53:22,996,1013,1014,1012,46,25
10:53:22,999,1011,1009,1001,46,25
10:53:22,985,1005,1005,996,46,25
10:53:22,985,1002,1002,998,45,25
10:53:22,985,998,1000,996,45,25
10:53:22,988,1005,1007,1001,45,25
10:53:22,986,1002,1008,1015,45,24
10:53:22,999,1019,1017,1008,45,24
10:53:22,996,1015,1016,1011,45,24
10:53:22,997,1014,1016,1012,45,24
10:53:22,998,1013,1016,1013,45,24
10:53:22,994,1010,1014,1014,45,24
10:53:22,1002,1013,1010,1007,45,24
10:53:22,928,1011,1007,1000,45,24
10:53:22,983,1002,999,1002,45,24
10:53:22,981,1002,1023,1015,45,24
10:53:22,984,1007,1019,1019,45,24
10:53:22,999,1015,1011,1012,45,24
10:53:22,997,1015,1012,1008,45,24
10:53:22,997,1008,1016,1014,45,24
10:53:22,992,1013,1015,1011,45,24
10:53:23,992,1014,1016,1012,45,24
10:53:23,989,1001,1001,995,45,24
10:53:23,991,1005,1011,996,45,24
10:53:23,979,998,999,994,45,23
10:53:23,1005,1015,1013,995,45,23
10:53:23,976,997,994,994,45,23
10:53:23,983,995,999,990,45,23
10:53:23,994,1011,1005,999,45,23
10:53:23,976,995,997,990,45,23
10:53:23,996,1009,1017,1019,45,23
10:53:23,979,998,1000,994,45,23
10:53:23,987,1007,1003,993,45,23
10:53:23,985,1003,1006,1001,45,23
10:53:23,987,1003,1005,1002,44,23
10:53:23,991,976,1013,1015,44,23
10:53:23,960,1005,1019,1016,44,23
10:53:23,995,1014,1015,1012,44,23
10:53:23,997,1014,1017,1010,44,23
10:53:23,994,1013,1015,1008,44,23
10:53:23,998,1011,1017,1009,44,23
10:53:23,994,1021,1015,1010,44,23
10:53:23,991,1003,1001,996,44,23
10:53:23,979,1019,1007,1002,44,23
10:53:23,999,1005,1003,996,44,23
10:53:23,979,991,997,976,45,22
10:53:23,979,995,997,994,45,21
10:53:23,985,993,998,995,45,21
10:53:24,983,995,997,990,45,21
10:53:24,999,1011,1009,1011,45,21
10:53:24,985,993,994,997,44,21
10:53:24,997,1015,1015,1013,44,21
10:53:24,980,993,996,960,44,21
10:53:24,981,995,999,998,44,21
10:53:24,993,1007,1005,997,44,21
10:53:24,991,999,999,1000,44,21
10:53:24,995,1003,1015,1003,44,21
10:53:24,995,1005,1006,1004,44,21
10:53:24,984,1000,1003,1003,44,21
10:53:24,1003,1015,1011,1014,44,21
10:53:24,999,1012,1015,1010,45,21
10:53:24,996,1009,1017,1012,45,21
10:53:24,996,1010,1016,1011,45,21
10:53:24,994,1007,1016,1014,45,21
10:53:24,998,1006,1019,1015,45,21
10:53:24,991,1002,1004,1001,45,21
10:53:24,985,999,1004,1004,45,21
10:53:24,983,998,1002,1004,45,21
10:53:24,1002,1011,1015,1015,45,21
10:53:24,997,1005,1016,1014,44,21
10:53:24,998,1012,1016,1016,44,21
10:53:24,1000,1010,1015,1011,44,21
10:53:24,998,1010,1016,1016,44,21
10:53:24,1001,1013,1016,1015,43,21
10:53:24,1003,1001,1003,1000,43,21
10:53:25,991,1002,1006,1000,43,20
10:53:25,995,1015,1019,1022,43,20
10:53:25,997,1009,1011,1016,44,19
10:53:25,997,1011,1011,1011,44,19
10:53:25,998,1010,1016,1015,44,19
10:53:25,997,1006,1016,1012,44,19
10:53:25,997,1011,1019,1011,44,19
10:53:25,995,1001,999,995,44,19
10:53:25,990,994,999,995,44,19
10:53:25,1002,1011,1017,998,44,19
10:53:25,928,1007,1006,1004,44,19
10:53:25,960,1013,1019,1023,44,19
10:53:25,998,1008,1011,1017,44,19
10:53:25,1002,1007,1017,1012,44,19
10:53:25,1004,1005,1011,1012,44,19
10:53:25,1005,1006,1016,1017,44,19
10:53:25,1005,1013,1015,1011,44,19
10:53:25,984,985,1013,1008,44,19
10:53:25,987,993,1005,1001,44,19
10:53:25,988,991,992,1021,44,19
10:53:25,960,1011,1019,1021,44,19
10:53:25,1005,1007,1016,1013,44,19
10:53:25,1003,1008,1011,1016,44,19
10:53:25,999,1007,1014,1012,44,19
10:53:25,1003,1003,1017,1014,44,19
10:53:25,1005,1007,1015,1011,44,19
10:53:25,990,997,1004,1005,44,19
10:53:26,992,991,1000,1008,44,19
10:53:26,1007,1006,1019,1013,44,19
10:53:26,1010,1009,1015,1016,43,18
10:53:26,1004,1002,1017,1018,43,18
10:53:26,1004,1009,1016,1016,43,18
10:53:26,1005,1003,1011,1011,43,18
10:53:26,986,990,994,995,43,18
10:53:26,1003,997,997,1003,43,18
10:53:26,1007,999,1005,1006,43,18
10:53:26,989,997,1000,1006,43,18
10:53:26,1007,1011,1018,1019,43,18
10:53:26,1007,1007,1013,1014,44,18
10:53:26,1005,1007,1017,1016,44,18
10:53:26,1001,1004,1015,1016,44,18
10:53:26,999,1003,1011,1019,44,18
10:53:26,990,991,993,1011,44,18
10:53:26,989,989,1002,1005,44,18
10:53:26,993,991,1005,1006,44,18
10:53:26,992,1011,1019,1023,44,18
10:53:26,1007,1011,1022,1014,44,18
10:53:26,1004,1006,1012,1012,43,18
10:53:26,1001,1007,1013,1012,43,18
10:53:26,1005,1009,1013,1012,43,18
10:53:26,1006,999,1007,1003,43,18
10:53:26,985,986,997,1011,43,18
10:53:26,995,991,999,1003,43,18
10:53:27,1007,999,1006,1005,43,18
10:53:27,994,995,1004,1000,43,18
10:53:27,994,997,960,1021,43,18
10:53:27,993,994,1005,1006,43,18
10:53:27,1007,1011,1023,1016,43,18
10:53:27,1004,1009,1015,1013,43,18
10:53:27,1007,1004,1016,1016,43,18
10:53:27,1006,1009,1016,1023,43,18
10:53:27,991,987,997,996,43,18
10:53:27,1011,1007,1015,1015,43,18
10:53:27,1007,996,1005,1006,43,18
10:53:27,1007,997,1007,1006,43,17
10:53:27,1006,1009,1016,1014,43,17
10:53:27,1007,1005,1016,1016,43,17
10:53:27,1006,1007,1012,1018,43,17
10:53:27,1000,1007,1015,1023,43,17
10:53:27,987,986,998,960,43,17
10:53:27,1003,995,999,1000,43,17
10:53:27,991,990,995,999,43,17
10:53:27,999,998,1003,1001,43,17
10:53:27,989,994,1001,999,43,17
10:53:27,987,1005,1005,1006,43,17
10:53:27,995,993,1003,1001,43,17
10:53:27,993,991,992,1021,43,17
10:53:27,992,995,1004,1002,43,17
10:53:27,994,992,976,1014,43,17
10:53:27,993,976,1019,1021,43,17
10:53:28,1001,1011,1023,1018,43,17
10:53:28,1000,1006,1010,1013,43,16
