c1,c2,c3,c4,c5,c6,Unnamed: 6
14:55:59,1013,1014,1013,1016,94,90
14:55:59,1015,1017,1013,1011,94,90
14:55:59,1013,1017,1016,1013,94,90
14:55:59,1014,1017,1014,1016,94,90
14:55:59,1007,1013,1012,1007,94,90
14:55:59,994,1008,1008,1014,94,90
14:55:59,970,984,1014,1009,94,90
14:55:59,967,980,1002,1009,93,90
14:55:59,964,977,1012,1013,92,90
14:55:59,960,936,990,1015,91,90
14:55:59,959,974,1009,1015,90,90
14:55:59,945,960,992,1019,89,90
14:55:59,950,960,998,999,88,90
14:55:59,950,963,1001,999,87,90
14:55:59,959,971,1003,1005,86,90
14:55:59,960,973,1008,1011,85,90
14:55:59,961,839,1003,1011,84,90
14:55:59,962,976,1012,1015,83,90
14:55:59,963,920,849,1017,82,91
14:55:59,963,928,798,1013,81,92
14:55:59,959,929,972,1016,80,93
14:55:59,950,925,949,1003,79,94
14:55:59,945,753,816,1003,78,95
14:56:00,958,889,906,1006,77,96
14:56:00,960,825,856,1016,76,97
14:56:00,961,917,951,1011,75,98
14:56:00,959,970,1001,1016,74,99
14:56:00,959,969,1002,1014,73,99
14:56:00,961,979,1008,1017,72,99
14:56:00,958,989,1011,1016,71,99
14:56:00,962,991,1016,1016,70,99
14:56:00,948,985,960,1019,69,99
14:56:00,952,986,1005,1002,68,99
14:56:00,953,976,1010,1005,67,98
14:56:00,930,999,1007,1005,66,97
14:56:00,958,999,1003,999,65,96
14:56:00,966,1006,1016,1011,64,95
14:56:00,966,1007,1012,1015,63,94
14:56:00,963,1007,1016,1015,62,93
14:56:00,967,1005,1016,1011,61,92
14:56:00,966,1000,1019,1019,60,91
14:56:00,975,1006,1013,1010,59,90
14:56:00,967,993,1013,1005,58,90
14:56:00,965,992,1016,1022,57,89
14:56:00,968,994,1012,1016,56,89
14:56:00,967,990,1016,1017,55,89
14:56:00,973,991,1016,1012,54,89
14:56:00,973,994,1017,1016,53,89
14:56:00,970,997,1014,1016,52,89
14:56:00,971,1004,1013,1016,51,89
14:56:01,975,1010,1017,1009,50,88
14:56:01,971,1012,1016,1009,49,87
14:56:01,975,1013,1016,1010,48,86
14:56:01,975,1010,1011,1010,47,85
14:56:01,990,1012,1013,1009,46,84
14:56:01,1005,1015,1016,1009,46,84
14:56:01,1011,1012,1015,1007,46,84
14:56:01,999,960,1015,1009,46,84
14:56:01,997,1000,1013,1004,46,84
14:56:01,1015,1011,1023,1004,46,84
14:56:01,1002,1006,1005,1005,46,84
14:56:01,999,1005,1004,1001,46,84
14:56:01,1003,1006,1005,992,46,84
14:56:01,1004,960,1023,1019,46,84
14:56:01,1015,1018,1018,1018,46,84
14:56:01,1013,1017,1011,1016,46,84
14:56:01,1014,1018,1016,1014,46,84
14:56:01,1016,1013,1018,1015,46,84
14:56:01,1016,1018,1016,1014,46,84
14:56:01,1013,1017,1012,1012,46,84
14:56:01,1016,1012,1012,1015,46,84
14:56:01,1011,1014,1016,1017,46,84
14:56:01,1007,1013,1003,1006,46,84
14:56:01,1005,1007,1005,1006,46,84
14:56:01,1003,1006,1004,984,46,84
14:56:01,1008,1019,1021,1023,46,84
14:56:01,1017,1012,1017,1012,46,84
14:56:02,1017,1017,1014,1012,46,84
14:56:02,1015,1017,1012,1017,46,84
14:56:02,1016,1018,1016,1018,46,84
14:56:02,1009,1014,1016,1011,46,84
14:56:02,1016,1018,1014,1017,46,84
14:56:02,1016,1012,1016,1016,46,84
14:56:02,1015,1017,1016,1015,46,84
14:56:02,1007,1010,1006,1007,46,84
14:56:02,1003,1002,1001,1005,46,84
14:56:02,1004,1021,1019,1017,46,84
14:56:02,1021,1017,1016,1016,46,84
14:56:02,1011,1017,1015,1014,46,84
14:56:02,1010,1018,1016,1016,46,84
14:56:02,1016,1016,1016,1018,46,84
14:56:02,1014,1017,1014,1018,46,84
14:56:02,1016,1013,1017,1017,46,84
14:56:02,1017,1012,1016,1017,46,84
14:56:02,1015,1017,1011,1019,46,84
14:56:02,1013,1007,1006,1002,46,84
14:56:02,1005,1007,1000,1010,46,84
14:56:02,1001,1003,1000,992,46,84
14:56:02,1008,1021,1021,1023,46,84
14:56:02,1015,1018,1016,1015,47,84
14:56:02,1013,1016,1016,1013,47,84
14:56:02,1015,1017,1015,1016,47,84
14:56:03,1014,1017,1017,1012,47,84
14:56:03,1013,1017,1016,1012,47,84
14:56:03,1017,1015,1016,1018,47,84
14:56:03,1016,1013,1016,1016,47,84
14:56:03,1016,1023,1017,1015,47,84
14:56:03,1009,1011,1007,1001,47,84
14:56:03,1004,1005,960,1021,47,84
14:56:03,1000,1002,1000,1021,47,84
14:56:03,1019,1022,1023,1017,47,84
14:56:03,1015,1017,1012,1018,47,85
14:56:03,1017,1017,1013,1018,47,85
14:56:03,1015,1012,1014,1018,47,85
14:56:03,1017,1012,1016,1017,47,85
14:56:03,1013,1018,1016,1014,47,85
14:56:03,1015,1019,1016,1015,47,85
14:56:03,1014,1019,1021,1017,47,85
14:56:03,1015,1007,1011,1003,47,85
14:56:03,1003,1015,1007,1007,47,85
14:56:03,1006,1007,1005,968,47,85
14:56:03,1000,1000,968,1002,47,85
14:56:03,1019,1021,1019,1019,47,85
14:56:03,1017,1015,1016,1013,47,85
